bid_nodes,eps,idx,iters,loser,proc_nodes,reachable,rows,rows_bid,rows_proc,s0,s1,seconds,states0,states1,terminal,types0,types1,value
,,1,,0,,False,0,,,"(1,0,0)","(2,0,0)",,,,True,,,-1.0
,,2,,0,,True,0,,,"(1,0,0)","(2,0,1)",,,,True,,,-1.0
,,3,,0,,True,0,,,"(1,0,0)","(2,0,2)",,,,True,,,-1.0
,,4,,0,,True,0,,,"(1,0,0)","(2,1,0)",,,,True,,,-1.0
,,5,,0,,True,0,,,"(1,0,0)","(2,1,1)",,,,True,,,-1.0
,,6,,0,,True,0,,,"(1,0,0)","(2,2,0)",,,,True,,,-1.0
,,7,,0,,True,0,,,"(1,0,1)","(2,0,0)",,,,True,,,-1.0
,,8,,0,,True,0,,,"(1,0,1)","(2,0,1)",,,,True,,,-1.0
,,9,,0,,True,0,,,"(1,0,1)","(2,0,2)",,,,True,,,-1.0
,,10,,0,,True,0,,,"(1,0,1)","(2,1,0)",,,,True,,,-1.0
,,11,,0,,True,0,,,"(1,0,1)","(2,1,1)",,,,True,,,-1.0
,,12,,0,,True,0,,,"(1,0,1)","(2,2,0)",,,,True,,,-1.0
,,13,,0,,True,0,,,"(1,1,0)","(2,0,0)",,,,True,,,-1.0
,,14,,0,,True,0,,,"(1,1,0)","(2,0,1)",,,,True,,,-1.0
,,15,,0,,True,0,,,"(1,1,0)","(2,0,2)",,,,True,,,-1.0
,,16,,0,,True,0,,,"(1,1,0)","(2,1,0)",,,,True,,,-1.0
,,17,,0,,True,0,,,"(1,1,0)","(2,1,1)",,,,True,,,-1.0
,,18,,0,,True,0,,,"(1,1,0)","(2,2,0)",,,,True,,,-1.0
7,0.000816849646102645,19,75,0,14,False,244,94,150,"(2,0,0)","(1,0,0)",0.069,16,10,False,12,10,-0.006500230232947959
7,0.000858126134799111,20,200,0,14,True,194,79,115,"(2,0,0)","(1,0,1)",0.163,16,5,False,12,5,-0.0064338141550749715
7,0.0008581261347991032,21,200,0,14,True,194,79,115,"(2,0,0)","(1,1,0)",0.163,16,5,False,12,5,-0.006433814155074954
7,0.0009556332870187762,22,500,0,14,True,208,78,130,"(2,0,1)","(1,0,0)",0.412,12,10,False,8,10,-0.0010937983196677298
7,0.000989347373051646,23,325,0,14,True,158,63,95,"(2,0,1)","(1,0,1)",0.251,12,5,False,8,5,-0.0005838544044165506
7,0.0009658833657433983,24,350,0,14,True,158,63,95,"(2,0,1)","(1,1,0)",0.271,12,5,False,8,5,-0.0006673422056259135
7,0.0006245614035087499,25,75,0,14,True,136,46,90,"(2,0,2)","(1,0,0)",0.059,4,10,False,4,10,-0.9994004516329696
